,name,address,lat,lon,10pm_cd,11pm_cd,12am_cd,1am_cd,2am_cd
0,Potato Head Singapore,36 Keong Saik Rd. Singapore 089143,1.2804095,103.841714,100,85,0,0,0
1,Alleybar,"2 Emerald Hill Rd, Peranakan Place, Singapore 229287",1.3015903,103.8392131,,,,,
2,Origin Bar,"Lobby Level, Tower Wing, 22 Orange Grove Rd, Singapore 258350",1.3109262,103.8267489,,,,,
3,Last Word,"8 Purvis St, #02-01, Singapore 188587",1.2967133,103.8552195,,,,,
4,BQ Bar,39 Boat Quay Singapore 049828,1.2865375,103.8496088,90,90,70,45,25
5,The Other Roof,"28 Ann Siang Rd, Rooftop Bar, Singapore 069708",1.280726,103.845787,,,,,
6,Kingz Bar.Bistro,"27A Lor Mambong, Singapore 277686",1.3115366,103.7945673,,,,,
7,BRIX,"10 Scotts Rd, Grand Hyatt, Singapore 228211",1.3064966,103.8331097,,,,,
8,The Drunken Poet,400 Orchard Road Orchard Towers #01 #29c Singapore 238875,1.3067198,103.829162,100,95,75,50,0
9,Martini Bar,"10 Scotts Rd, Grand Hyatt, Singapore 228211",1.306262,103.8334,,,,,
10,Levant Bar,32 Tras St Level 4 Singapore 078972,1.2786335,103.8443306,60,55,0,0,0
11,The ExciseMan Wine & Whisky Bar,"8 Raffles Ave., #02-27 Esplanade Mall, Singapore 039802",1.289574,103.8562582,,,,,
12,Employees Only Singapore,112 Amoy St Singapore 069932,1.2820556,103.8476771,80,80,65,45,0
13,The House Bar,"1 Cuscaden Rd, #01-02 Conrad Singapore, Singapore 249715",1.3046549,103.8249313,,,,,
14,miniBAR by A Beautiful Day,"2 Paya Lebar Rd, #01-09 Parkplace Residences, Singapore 409053",1.3155782,103.8926374,,,,,
15,Astor Bar,"29 Tanglin Road, The St. Regis Singapore, Lobby Level Singapore 247912",1.305761,103.8259258,95,75,0,0,0
16,Acid Bar & Restaurant,180 Orchard Rd Singapore 238846,1.3015153,103.8391555,65,85,50,35,0
17,Silk Bar,"20 Upper Weld Rd, floor no 02, Singapore 207377",1.3055944,103.8547111,,,,,
18,Jigger & Pony,"165 Tg Pagar Rd, Amara Hotel, Singapore 088539",1.275032,103.843551,,,,,
19,Lantern,80 Collyer Quay Singapore 049326,1.2832539,103.8537966,80,65,45,0,0
20,The Hidden Story - Speakeasy Bar hidden within a steakhouse,"115A E Coast Rd, Singapore 428804",1.3058071,103.9045241,,,,,
21,Writers Bar,"1 Beach Rd, Singapore 189673",1.294812,103.8545145,,,,,
22,Backstage Bar,"80 Neil Rd, Singapore 088842",1.2797639,103.8423208,85,100,55,30,20
23,Bar Bar Black Sheep,879/881 Bukit Timah Rd Singapore 279892,1.332731,103.7911861,50,25,0,0,0
24,Anouska's Bar,"83 Duxton Rd, Duxton Reserve, Singapore 089540",1.2786983,103.84319,,,,,
25,Bar Stories,55-57A Haji Ln Singapore 189248,1.301152,103.85869,85,55,0,0,0
26,Junior The Pocket Bar,6 Ann Siang Hill Singapore 069787,1.2814078,103.8452919,85,75,0,0,0
27,Bar Square,"5 Fraser St, Singapore 189352",1.2992107,103.8577253,,,,,
28,Live Twice,"18-20 Bukit Pasoh Rd, Singapore 089834",1.2791155,103.8409436,,,,,
29,One-Ninety Restaurant,190 Orchard Blvd Singapore 248646,1.3051922,103.8284188,85,0,0,0,0
30,KPO,1 Killiney Rd Singapore 239518,1.300215,103.8406515,55,50,35,0,0
31,Olibier Rooftop Bar,"70A Dunlop St, Singapore 209398",1.3053811,103.853339,,,,,
32,Night Hawk,"43 Tg Pagar Rd, #01-02, Singapore 088464",1.2789557,103.8440049,,,,,
33,ANTI:DOTE,80 Bras Basah Rd Level 1 Fairmont Singapore 189560,1.2943078,103.8536926,80,80,65,0,0
34,Sugarhall,19 Cecil St Level 2 Singapore 049704,1.2824433,103.8505403,65,75,65,45,0
35,The Bar KAKURE,"29 Scotts Rd, Singapore 228224",1.3106807,103.8346232,,,,,
36,Bar Intermezzo,442 Orchard Rd Singapore 238879,1.3075322,103.8286,10,0,0,0,0
37,Chimney's Bar,"Trio, 11, Sam Leong Rd, #04-06, Singapore 207903",1.3090058,103.8570212,,,,,
38,Wings Bar - Clarke Quay,"3D River Valley Rd, #01 - 02 Block D, Singapore 179023",1.2901342,103.8455505,,,,,
39,All About Eve Music Bar & Kitchen,144 Arab St #02-01 Singapore 199829,1.3026364,103.8580575,60,60,45,30,0
40,"Tess Bar & Kitchen, Singapore",36 Seah St Singapore 188392,1.2959228,103.8549642,70,75,60,40,20
41,"CÉ LA VI Singapore: Restaurant, SkyBar & Club Lounge","1 Bayfront Avenue Marina Bay Sands, Hotel, Tower 3, Singapore 018971",1.2846929,103.8610232,75,60,45,35,25
42,Whiskey Library & Jazz Club,"39 Syed Alwi Rd, at The Vagabond Club, Singapore 207630",1.3069404,103.8584166,100,90,0,0,0
43,Druggists,119 Tyrwhitt Rd Singapore 207547,1.3111042,103.8596912,80,65,0,0,0
44,Level Up - Arcade & Live Music Bar,3A River Valley Rd #02-04 Blk A Clarke Quay Singapore 179020,1.289512,103.8450698,75,80,65,45,25
45,Skinny's Lounge,82 #01-02 Boat Quay Singapore 049870,1.2885814,103.8491907,75,90,80,70,50
46,Here Kitty Kitty - Speakeasy & Cocktail Lounge,"3E River Valley Road, #02-01, The Cannery, Clarke Quay, Singapore 179024",1.290195,103.846359,,,,,
47,MALT Craft Beer Bar,302 Beach Rd #01-07 Concourse Skyline Singapore 199600,1.3010448,103.8621393,45,45,0,0,0
48,Rumpoles Bar,"1A Cuscaden Rd, Level 2, Singapore 249716",1.3043552,103.8239455,,,,,
49,No Sleep Club,"20 Keong Saik Rd., Singapore 089127",1.2800061,103.8416389,,,,,
50,Warehouse Bar - SINGAPORE,3C River Valley Rd #01-09 Block C Singapore 179024,1.2904648,103.8452968,80,90,75,55,40
51,Nutmeg & Clove,8 Purvis St Singapore 188587,1.2967133,103.8552195,80,65,0,0,0
52,Crazy Horse,400 Orchard Rd Singapore 238875,1.3068583,103.8289283,25,10,0,0,0
53,Five Tapas Bar,"25 Cuppage Rd, Cuppage Terrace, Singapore 229454",1.302007,103.8403227,75,70,50,30,0
54,Crossroads Bar,"20 Merchant Rd, Singapore 058281",1.2887138,103.8456287,,,,,
55,Singapore Pub Crawl,"3 Canton St, #01-01 Mogambo Bar & Restaurant, Singapore 049745",1.2862199,103.8494504,,,,,
56,Club 5,"7500 Beach Rd, Singapore 199591",1.3001984,103.8608667,65,75,65,75,0
57,George Town Bar,"182 Jln Jurong Kechil, #01-50, Singapore 596152",1.3436595,103.7699186,,,,,
58,Yin Bar Singapore,3A River Valley Rd #01 - 02 Singapore 179020,1.2900912,103.8448906,85,85,60,40,0
59,No.5 Emerald Hill,5 Emerald Hill Rd Singapore 229289,1.3018148,103.8390852,85,85,60,40,20
60,D.Bespoke,2 Bukit Pasoh Rd Singapore 089816,1.2787135,103.8410542,100,90,85,80,0
61,28 HongKong Street,28 Hongkong St Singapore 059667,1.2875578,103.8469262,80,85,70,50,0
62,J Bar,"81 Anson Rd, Level 9, Singapore 079908",1.273767,103.8450399,,,,,
63,Long Bar,"1 Beach Rd, Singapore 189673",1.2954411,103.8538607,,,,,
64,RedTail Bar By Zouk,"3C River Valley Road, Clarke Quay, Block C, #01-04, The Cannery, Singapore 179022",1.290948,103.845856,,,,,
65,Jekyll & Hyde,74 Neil Rd Singapore 088839,1.2798308,103.8424435,90,70,40,35,0
66,The 3 Peas,"100 Loewen Rd, Singapore 248837",1.30273,103.812423,,,,,
67,Wine RVLT,38 Carpenter St #01-01 Singapore 059917,1.288033,103.847842,75,70,0,0,0
68,Republic Bar Singapore,7 Raffles Ave. Singapore 039799,1.2909687,103.8601209,75,95,50,0,0
69,ATLAS,Ground floor 600 North Bridge Rd Parkview Square Singapore 188778,1.3001138,103.8577754,35,35,20,15,0
70,The Other Room,"320 Orchard Rd, Singapore Marriott Tang Plaza Hotel, Singapore 238865",1.3053584,103.8328308,,,,,
71,Papa Doble Singapore,"55 Keong Saik Rd., #01-04, Singapore 089158",1.2806312,103.8415186,,,,,
72,Flow Restobar,"39 Neil Rd, Singapore 088823",1.279815,103.842894,,,,,
73,Bitters & Love,118 Telok Ayer St Singapore 068587,1.2819719,103.8481672,70,60,0,0,0
74,Native,"52A Amoy St, Singapore 069878",1.2801256,103.8468629,,,,,
75,Going Om,"33 Bali Ln, Singapore 189869",1.301345,103.8583717,,,,,
76,Zenzebar Pub,"1 Coleman St, Singapore 179803",1.291359,103.851346,,,,,
77,MO BAR,"5 Raffles Ave., Singapore 039797",1.29063,103.85844,,,,,
78,Manhattan,1 Cuscaden Rd Level 2 Singapore 249715,1.3047647,103.8251569,95,95,55,0,0
79,The Elephant Room Singapore,"33 Tg Pagar Rd, #01-02, Singapore 088456",1.279188,103.844008,,,,,
80,Khazana - Bollywood Music Lounge,"78 Circular Road, #01-01, Boat Quay, Singapore, Singapore 049432",1.2869715,103.8488917,90,100,85,70,50
81,Dorothy's Bar,"13A Trengganu St, Singapore 058467",1.2828127,103.8444098,,,,,
82,Cool Cats,"32 Beach Rd, Singapore 189764",1.2941059,103.8549711,,,,,
83,City of Dreams / COD Club,100 Jln Sultan #05-19 Singapore 199001,1.3032484,103.8619363,90,100,85,90,85
84,Ace de Pub,"1 Coleman St, #B1-45 The Adelphi, Singapore 179803",1.2911845,103.8512167,,,,,
85,Lulu's Lounge,"7 Raffles Blvd, Singapore 039595",1.2920683,103.8587008,,,,,
86,BRIX,"10 Scotts Rd, Grand Hyatt, Singapore 228211",1.3064966,103.8331097,,,,,
87,ALPHA NIGHTLIFE,"530 North Bridge Rd, #02-01, Singapore 188747",1.2987774,103.8560966,90,100,80,70,55
88,Wind Club-Ktv,"196 Jln Besar, Singapore 208886",1.3081748,103.8572826,,,,,
89,Haru Lounge,"3 Magazine Rd, Singapore 059570",1.288819,103.842322,,,,,
90,Smoke & Mirrors,1 St. Andrew's Road #06-01 National Gallery Singapore Singapore 178957,1.2904173,103.8518107,80,60,35,0,0
91,Chameleon,"22 Dempsey Rd, Singapore 249679",1.3068854,103.8101568,,,,,
92,TUFF CLUB,"138 Robinson Rd, #19-01, Singapore 068906",1.278646,103.8484196,,,,,
93,Hero's,69 Circular Road #01-01 Singapore 049423,1.28647,103.849116,85,95,85,65,45
94,Yang Club Singapore,"3A River Valley Road, #01-02 Clarke Quay, Singapore 179020",1.2900664,103.844857,70,100,95,90,70
95,StereoLab Nightclub,"7 Raffles Blvd, Singapore 039595",1.29237,103.8587639,,,,,
96,Writers Bar,"1 Beach Rd, Singapore 189673",1.294812,103.8545145,,,,,
